priority,organization,segment,phone,email,contact_role,status,last_contact,next_action,source_url
P0-1,시립목동청소년센터,청소년 캠프·야외체험,02-2642-1318,,청소년활동/동행캠프 담당,NOT_CONTACTED,,전화 후 담당자 연결 요청,https://www.wawa.or.kr/
P0-2,시립문래청소년센터,청소년 캠프·야외체험,02-2167-0100,,청소년 프로그램/동행캠프 담당,NOT_CONTACTED,,전화 후 담당자 연결 요청,https://mullaeyouth.or.kr/
P0-3,시립금천청소년센터,청소년 캠프·야외체험,02-803-1318,cyccenter@naver.com,청소년활동/특성화 담당,NOT_CONTACTED,,전화 후 담당자 연결 요청,https://cyc.or.kr/index.asp
P0-4,시립보라매청소년센터,청소년 캠프·야외체험,02-834-7233~4,boram@boramyc.or.kr,청소년사업팀,NOT_CONTACTED,,청소년사업팀 인터뷰 요청,https://www.boramyc.or.kr/sub02/sub04_1.php
P0-5,시립구로청소년센터,청소년 캠프·야외체험,02-838-1318,guro_1318@naver.com,청소년프로그램 담당,NOT_CONTACTED,,전화 후 담당자 연결 요청,https://www.guro1318.org/sub05/sub04.php
P0-6,굿러너컴퍼니,러닝·스포츠 코칭,02-6463-0430,info@goodrunner.co.kr,커뮤니티·프로그램/이벤트 운영 담당,NOT_CONTACTED,,운영자 문제 인터뷰 요청,https://goodrunner.co.kr/goodrunner
P1-1,시립화곡청소년센터,청소년 캠프·야외체험,02-2061-1318,,청소년 활동/캠프 담당,NOT_CONTACTED,,P0 응답 부족 시 연락,https://online142.youth.seoul.kr/?center_id=142
P1-2,시립강동청소년센터,청소년 캠프·야외체험,02-6252-1300~1,,청소년사업 담당,NOT_CONTACTED,,P0 응답 부족 시 연락,https://wagle.or.kr/
P1-3,시립광진청소년센터,청소년 캠프·야외체험,02-2204-3100,,청소년 활동/동행캠프 담당,NOT_CONTACTED,,P0 응답 부족 시 연락,https://www.seekle.or.kr/
P1-4,시립동대문청소년센터,청소년 캠프·야외체험,02-3295-1478,,청소년 활동/캠프 담당,NOT_CONTACTED,,P0 응답 부족 시 연락,https://ddmy.or.kr/bbs/content.php?co_id=company_9
P1-5,시립은평청소년센터,청소년 캠프·야외체험,070-7113-4953,epwoori1318@daum.net,청소년활동팀,NOT_CONTACTED,,P0 응답 부족 시 연락,https://www.woori1318.or.kr/p_youth/sub01.php
P1-6,7979 서울 러닝크루 운영 담당,러닝·스포츠 코칭,02-2133-2749,,프로그램 운영 담당,NOT_CONTACTED,,문제 인터뷰/현장 관찰 요청,https://sports.seoul.go.kr/main/SP04100000_user/program_view.do
